autor1,autor2,nProyectos
Gutiérrez Pino: Romilio,Hernández Hernández: Javier,31
Kort Garriga: Issa Farid,Sandoval Plaza: David,31
Nogueira Fernández: Claudia,Trisotti Martínez: Renzo,31
Gutiérrez Pino: Romilio,Hoffmann Opazo: María José,31
Coloma Alamos: Juan Antonio,Urrutia Bonilla: Ignacio,31
Monckeberg Bruner: Cristián,Rathgeb Schifferli: Jorge,31
Gahona Salazar: Sergio,Van Rysselberghe Herrera: Enrique,31
Carvajal Ambiado: Loreto,Letelier Norambuena: Felipe,31
Becker Alvear: Germán,Núñez Urrutia: Paulina,31
Jiménez Fuentes: Tucapel,Vallespín López: Patricio,31
Macaya Danús: Javier,Nogueira Fernández: Claudia,31
Alvarado Ramírez: Miguel Ángel,Carvajal Ambiado: Loreto,30
Hernando Pérez: Marcela,Pérez Arriagada: José,30
Macaya Danús: Javier,Sandoval Plaza: David,30
Hoffmann Opazo: María José,Urrutia Soto: Osvaldo,30
Cariola Oliva: Karol,Hernando Pérez: Marcela,30
Barros Montero: Ramón,Morales Muñoz: Celso,30
Becker Alvear: Germán,Fuenzalida Figueroa: Gonzalo,30
Arriagada Macaya: Claudio,Farcas Guendelman: Daniel,30
Lavín León: Joaquín,Sandoval Plaza: David,30
Cariola Oliva: Karol,Núñez Arancibia: Daniel,30
Aguiló Melo: Sergio,Teillier Del Valle: Guillermo,30
Kast Rist: José Antonio,Macaya Danús: Javier,30
Fernández Allende: Maya,Teillier Del Valle: Guillermo,30
Bianchi Chelech: Carlos,Prokurica Prokurica: Baldo,30
Fuentes Castillo: Iván,Hernando Pérez: Marcela,30
Berger Fett: Bernardo,Fuenzalida Figueroa: Gonzalo,30
Hasbún Selume: Gustavo,Ulloa Aguillón: Jorge,30
Hoffmann Opazo: María José,Trisotti Martínez: Renzo,30
Monckeberg Bruner: Cristián,Paulsen Kehr: Diego,30
Barros Montero: Ramón,Ward Edwards: Felipe,30
Harboe Bascuñán: Felipe,Larraín Fernández: Hernán,29
Sandoval Plaza: David,Ulloa Aguillón: Jorge,29
Carmona Soto: Lautaro,Vallejo Dowling: Camila,29
Núñez Arancibia: Daniel,Teillier Del Valle: Guillermo,29
Ceroni Fuentes: Guillermo,Farcas Guendelman: Daniel,29
Chávez Velásquez: Marcelo,Flores García: Iván,29
Ulloa Aguillón: Jorge,Ward Edwards: Felipe,29
Aguiló Melo: Sergio,Vallejo Dowling: Camila,29
Gutiérrez Pino: Romilio,Hasbún Selume: Gustavo,29
Hoffmann Opazo: María José,Kort Garriga: Issa Farid,29
Rincón González: Ricardo,Saffirio Espinoza: René,29
Hasbún Selume: Gustavo,Turres Figueroa: Marisol,29
Gahona Salazar: Sergio,Trisotti Martínez: Renzo,29
Sandoval Plaza: David,Turres Figueroa: Marisol,29
Provoste Campillay: Yasna,Torres Jeldes: Víctor,29
Arriagada Macaya: Claudio,Jiménez Fuentes: Tucapel,29
Hernández Hernández: Javier,Turres Figueroa: Marisol,29
Coloma Alamos: Juan Antonio,Macaya Danús: Javier,29
Gutiérrez Gálvez: Hugo,Jiménez Fuentes: Tucapel,29
Lavín León: Joaquín,Molina Oliva: Andrea,29
Urrutia Soto: Osvaldo,Van Rysselberghe Herrera: Enrique,29
Macaya Danús: Javier,Trisotti Martínez: Renzo,29
Fuentes Castillo: Iván,Morano Cornejo: Juan Enrique,29
Meza Moncada: Fernando,Sepúlveda Orbenes: Alejandra,29
Girardi Lavín: Cristina,Torres Jeldes: Víctor,29
Gahona Salazar: Sergio,Urrutia Bonilla: Ignacio,29
Becker Alvear: Germán,Santana Tirachini: Alejandro,29
Espinosa Monardes: Marcos,Pérez Arriagada: José,28
Cicardini Milla: Daniella,Fernández Allende: Maya,28
Chahin Valenzuela: Fuad,Saffirio Espinoza: René,28
Ceroni Fuentes: Guillermo,Soto Ferrada: Leonardo,28
Alvarez-Salamanca Ramírez: Pedro Pablo,Gahona Salazar: Sergio,28
Carvajal Ambiado: Loreto,Meza Moncada: Fernando,28
Hernando Pérez: Marcela,Rincón González: Ricardo,28
Carmona Soto: Lautaro,Espinosa Monardes: Marcos,28
Fuenzalida Figueroa: Gonzalo,Núñez Urrutia: Paulina,28
Melero Abaroa: Patricio,Molina Oliva: Andrea,28
Arriagada Macaya: Claudio,Ojeda Uribe: Sergio,28
Castro González: Juan Luis,Torres Jeldes: Víctor,28
Hernando Pérez: Marcela,Provoste Campillay: Yasna,28
Norambuena Farías: Iván,Trisotti Martínez: Renzo,28
Sandoval Plaza: David,Trisotti Martínez: Renzo,28
Berger Fett: Bernardo,Monckeberg Bruner: Cristián,28
Molina Oliva: Andrea,Turres Figueroa: Marisol,28
Fernández Allende: Maya,Vallejo Dowling: Camila,28
Nogueira Fernández: Claudia,Van Rysselberghe Herrera: Enrique,28
Pilowsky Greene: Jaime,Walker Prieto: Matías,28
Alvarado Ramírez: Miguel Ángel,Sepúlveda Orbenes: Alejandra,28
Melo Contreras: Daniel,Soto Ferrada: Leonardo,28
Robles Pantoja: Alberto,Torres Jeldes: Víctor,28
Alvarado Ramírez: Miguel Ángel,Campos Jara: Cristián,28
Coloma Alamos: Juan Antonio,Van Rysselberghe Herrera: Enrique,28
Barros Montero: Ramón,Hernández Hernández: Javier,28
Arriagada Macaya: Claudio,Rincón González: Ricardo,27
Arriagada Macaya: Claudio,Jarpa Wevar: Carlos Abel,27
Bianchi Chelech: Carlos,Horvath Kiss: Antonio,27
Pascal Allende: Denise,Sepúlveda Orbenes: Alejandra,27
Araya Guerrero: Pedro,Larraín Fernández: Hernán,27
Gahona Salazar: Sergio,Kort Garriga: Issa Farid,27
Ceroni Fuentes: Guillermo,Saffirio Espinoza: René,27
Arriagada Macaya: Claudio,Farías Ponce: Ramón,27
Macaya Danús: Javier,Norambuena Farías: Iván,27
Cariola Oliva: Karol,Torres Jeldes: Víctor,27
Gahona Salazar: Sergio,Kast Rist: José Antonio,27
Monckeberg Díaz: Nicolás,Pérez Lahsen: Leopoldo,27
Alvarado Ramírez: Miguel Ángel,Letelier Norambuena: Felipe,27
Morales Muñoz: Celso,Ulloa Aguillón: Jorge,27
Flores García: Iván,Provoste Campillay: Yasna,27
Morano Cornejo: Juan Enrique,Provoste Campillay: Yasna,27
Castro González: Juan Luis,Hernando Pérez: Marcela,27
Macaya Danús: Javier,Urrutia Soto: Osvaldo,27
Browne Urrejola: Pedro,Rubilar Barahona: Karla,27
Arriagada Macaya: Claudio,Poblete Zapata: Roberto,27
Rincón González: Ricardo,Torres Jeldes: Víctor,26
Alvarez-Salamanca Ramírez: Pedro Pablo,Van Rysselberghe Herrera: Enrique,26
Arriagada Macaya: Claudio,Mirosevic Verdugo: Vlado,26
Macaya Danús: Javier,Molina Oliva: Andrea,26
Arriagada Macaya: Claudio,Pilowsky Greene: Jaime,26
Kast Rist: José Antonio,Norambuena Farías: Iván,26
Morales Muñoz: Celso,Turres Figueroa: Marisol,26
Monckeberg Bruner: Cristián,Verdugo Soto: Germán,26
Fuenzalida Figueroa: Gonzalo,García García: René Manuel,26
Kort Garriga: Issa Farid,Macaya Danús: Javier,26
Nogueira Fernández: Claudia,Urrutia Bonilla: Ignacio,26
Rincón González: Ricardo,Silber Romo: Gabriel,26
Robles Pantoja: Alberto,Sepúlveda Orbenes: Alejandra,26
Lavín León: Joaquín,Melero Abaroa: Patricio,26
Gutiérrez Pino: Romilio,Ward Edwards: Felipe,26
Kort Garriga: Issa Farid,Norambuena Farías: Iván,26
Farcas Guendelman: Daniel,Jarpa Wevar: Carlos Abel,26
Farías Ponce: Ramón,Torres Jeldes: Víctor,26
Fuenzalida Figueroa: Gonzalo,Paulsen Kehr: Diego,26
Gutiérrez Pino: Romilio,Norambuena Farías: Iván,26
Macaya Danús: Javier,Van Rysselberghe Herrera: Enrique,26
Campos Jara: Cristián,Jiménez Fuentes: Tucapel,26
Browne Urrejola: Pedro,Godoy Ibáñez: Joaquín,26
Fernández Allende: Maya,Torres Jeldes: Víctor,26
Espina Otero: Alberto,Larraín Fernández: Hernán,26
Arriagada Macaya: Claudio,Fernández Allende: Maya,26
Chávez Velásquez: Marcelo,Pilowsky Greene: Jaime,25
Coloma Alamos: Juan Antonio,Kort Garriga: Issa Farid,25
Morano Cornejo: Juan Enrique,Torres Jeldes: Víctor,25
Pérez Arriagada: José,Robles Pantoja: Alberto,25
Melero Abaroa: Patricio,Sandoval Plaza: David,25
Hernando Pérez: Marcela,Morano Cornejo: Juan Enrique,25
Campos Jara: Cristián,Hernando Pérez: Marcela,25
Becker Alvear: Germán,Monckeberg Díaz: Nicolás,25
Molina Oliva: Andrea,Urrutia Bonilla: Ignacio,25
Rincón González: Ricardo,Walker Prieto: Matías,25
